"Events","num_dep_delays","num_arr_delays","max_dep_delay","avg_dep_delay","avg_weather_delay","max_arr_delay","avg_arr_delay","avg_sec_delay","avg_aircraft_delay","avg_carrier_delay"
"",41767,41767,1215,31.2731582349702,0.595446173139476,1203,34.802762946824,0.131049888309754,19.7685072696634,17.6176274640436
"Fog",12122,12122,738,28.7969806962547,1.05397765513528,728,33.9071935324204,0.098128954098802,19.5866200026922,15.8495086821914
"Fog-Rain",205,205,238,29.409756097561,1.1328125,228,31.5804878048781,0,18.3984375,15.125
"Fog-Thunderstorm",147,147,233,25.4285714285714,0.441860465116279,247,35.2721088435374,0,15.1744186046512,22.5
"Rain",9187,9187,1099,41.0515946446065,1.46466484683045,1081,43.4802438227931,0.0250227479526843,25.9993933879284,17.2734303912648
"Rain-Thunderstorm",214,214,263,41.5233644859813,0.689189189189189,255,43.2803738317757,0.155405405405405,21.1756756756757,18.1013513513514
